FIPS,Poverty_%,Med_income,Ind_emp,Tot_emp,Pop_est,Ind_emp_%,RUCC_2013,HUD_median_lowmed
1001,0.131,54366,1923,10458,54977,0.183878371,2,0.31695
1003,0.13,49626,7665,65024,199745,0.117879552,3,0.35675
1005,0.254,34971,2720,8166,26763,0.333088415,6,0.4467
1007,0.181,39546,1282,4240,22511,0.302358491,1,0.4224
1009,0.175,45567,1624,7960,57621,0.204020101,1,0.3913
1011,0.351,26580,1184,2932,10712,0.403819918,6,0.4496
1013,0.25,32512,1710,6818,20283,0.250806688,6,0.4972
1015,0.205,41123,6792,43719,115837,0.155355795,3,0.389
1017,0.213,34116,1756,8178,33996,0.214722426,6,0.4269
1019,0.186,38013,1363,5130,25944,0.265692008,6,0.3564
1021,0.181,41450,2976,9207,43874,0.323232323,1,0.3985
1023,0.25,35049,1494,3432,13310,0.435314685,9,0.42
1025,0.249,36620,2309,8161,24862,0.282931013,7,0.4958
1027,0.195,35940,1795,3736,13503,0.480460385,9,0.4
1029,0.17,40418,870,2364,15076,0.368020305,8,0.3719
1031,0.168,46931,3848,14781,50757,0.260334213,4,0.4333
1033,0.167,43057,7439,23128,54427,0.32164476,3,0.3391
1035,0.306,29101,898,3462,12621,0.259387637,7,0.46425
1037,0.188,34679,612,1286,10794,0.475894246,8,0.3867
1039,0.208,36149,2971,12402,37795,0.239558136,6,0.37885
1041,0.212,34445,1431,3703,13898,0.386443424,8,0.392
1043,0.172,39922,6961,26635,81167,0.261347851,4,0.3694
1045,0.224,41940,4800,16677,49389,0.287821551,4,0.3883
1047,0.352,26602,3419,12696,41532,0.269297417,4,0.5396
1049,0.24,36241,7564,20737,70947,0.364758644,6,0.416
1051,0.144,54298,3289,18688,80794,0.175995291,2,0.38405
1053,0.251,37077,3000,12246,37878,0.244977952,6,0.4046
1055,0.19,39904,6189,35141,103371,0.176119063,3,0.3609
1057,0.206,35664,1050,3809,16821,0.275662904,6,0.357
1059,0.231,33881,4421,9931,31540,0.445171685,6,0.3828
1061,0.239,34425,1124,4858,26688,0.231370935,3,0.42625
1063,0.332,26504,504,1816,8525,0.27753304,8,0.59045
1065,0.281,33315,850,2736,15081,0.310672515,3,0.543
1067,0.173,39930,932,3302,17156,0.28225318,3,0.3937
1069,0.201,40124,5496,46222,104177,0.118904418,3,0.39165
1071,0.22,36923,5645,15997,52580,0.352878665,6,0.3712
1073,0.195,44852,41169,339026,659733,0.121433164,1,0.4545
1075,0.206,34553,1097,3260,14062,0.336503067,8,0.41425
1077,0.187,41324,5206,29732,93005,0.175097538,3,0.3789
1079,0.166,41574,782,4937,33432,0.158395787,3,0.388
1081,0.252,41256,8281,53693,154277,0.15422867,3,0.4532
1083,0.136,51175,5891,22102,90640,0.266536965,2,0.5
1085,0.314,30675,1197,2326,10524,0.514617369,2,0.5849
1087,0.321,28518,494,4949,19594,0.099818145,6,0.43035
1089,0.142,58833,24978,182630,350121,0.136768329,2,0.3918
1091,0.256,32977,2220,7041,20086,0.315296123,7,0.38005
1093,0.202,37707,3320,9330,30250,0.355841372,7,0.392
1095,0.22,36536,11036,33447,94320,0.329954854,4,0.4174
1097,0.196,42943,29767,165758,414342,0.179581076,2,0.4212
