Region,NAICS,Coal,Coke_and_breeze,Diesel,LPG_NGL,Natural_gas,Net_electricity,Other,Residual_fuel_oil,Total
Midwest Census Region,311,1.2400847742558123,3.6494625549999995,-0.6051217412499963,0.7143015029999873,0.3764055580934872,0.11191787768812791,-0.18450024103845786,NaN,0.44773653613135034
Midwest Census Region,312,5.431584718999964,0.0,NaN,NaN,0.35956278536363134,0.0673721990000038,NaN,inf,0.729387849187493
Midwest Census Region,313,0.0,0.0,NaN,NaN,-0.24706544700000066,-0.295558301,NaN,0.0,-0.025102924499999735
Midwest Census Region,314,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,NaN
Midwest Census Region,315,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN
Midwest Census Region,316,0.0,0.0,inf,NaN,-0.07926344399999863,-0.7701589469999999,inf,0.0,0.7459410930000008
Midwest Census Region,321,0.7626167469999989,0.0,0.3669819769999896,-0.27291397700000164,-0.3493237104545405,-0.07719279833332789,0.8226450675624786,0.0,0.3118072457105191
Midwest Census Region,322,0.39064536414285506,0.0,-0.4807298779999999,-0.5423184889999997,0.4123729327407447,0.2573581231276546,-0.5039243353267324,NaN,0.03749111663369828
Midwest Census Region,323,0.0,0.0,NaN,NaN,-0.07202391592857271,0.07114560742858396,NaN,0.0,0.01653052214286634
Midwest Census Region,324,inf,0.0,-0.3092284195,-0.9895928384210526,-0.40206511954666807,0.13641263415152055,-0.16804112604986185,NaN,-0.23856875321592802
Midwest Census Region,325,-0.41506537513674663,0.0,-0.1253220370000132,6.969674590000011,0.26770009389774096,0.05609762469769159,0.19389600383674427,0.0,0.13823405860599874
Midwest Census Region,326,0.0,0.0,NaN,-0.062085863999998825,0.10103000776924048,0.08410220110343844,0.0,0.0,0.09154076820406115
Midwest Census Region,327,-0.21571595830769313,-0.7373195109166667,0.5514173245000185,-0.978415646,0.30906719255811466,-0.15890251897435073,-0.055389619833333015,0.0,-0.01612117581223147
Midwest Census Region,331,6.893322494374994,-0.9411253524462151,-0.40153819166666604,-0.3095379835000006,0.05231215303361997,0.9961982781071458,-0.07066527908465597,NaN,-0.009968756958070849
Midwest Census Region,332,inf,0.0,NaN,-0.48096005400000974,-0.20903365819009,-0.01101824295524544,NaN,0.0,-0.14482181381859976
Midwest Census Region,333,NaN,inf,-0.3393921972499887,0.0262526159999652,0.18783635642547292,0.07481289372218115,0.11657039300001992,inf,0.11525782649991435
Midwest Census Region,334,0.0,0.0,NaN,NaN,NaN,0.010205894133324496,NaN,0.0,-0.1661284737142735
Midwest Census Region,335,0.0,0.0,NaN,NaN,1.0596808411666527,-0.04271623009091708,NaN,0.0,0.3103283650555579
Midwest Census Region,336,2.1786710159999534,NaN,-0.5794860975000005,0.8815881470000348,0.5048512347361425,0.15725537044924714,-0.10946897225000074,NaN,0.3295185750268298
Midwest Census Region,337,NaN,0.0,NaN,0.0,-0.3799186341250075,0.019510608000023577,NaN,0.0,-0.07646640842856899
Midwest Census Region,339,inf,0.0,NaN,NaN,-0.4806088799999932,-0.46311624324999745,NaN,0.0,-0.43723455533334293
Midwest Census Region,3112,1.7503002507796688,inf,-0.8838898079999999,NaN,0.3540937117300007,0.18301247023529588,-0.5761874082272715,NaN,0.6327790628279005
Midwest Census Region,3114,inf,0.0,NaN,NaN,0.1773878321052629,-0.1374482498999992,0.19742484400000326,0.0,0.1177904407000014
Midwest Census Region,3115,NaN,0.0,-0.2845209079999992,NaN,0.09680622470370419,-0.12538116584615325,0.3023259710000006,NaN,0.05307093966666832
Midwest Census Region,3116,0.0,0.0,-0.953124661,NaN,0.3429488571730914,0.16197014395999063,1.2573983140000031,NaN,0.2886397968641889
Midwest Census Region,3121,5.431584718999964,0.0,NaN,NaN,0.3340130609090873,0.024240811400003892,NaN,inf,0.6848510510624937
Midwest Census Region,3122,0.0,0.0,0.0,inf,NaN,NaN,0.0,0.0,NaN
Midwest Census Region,3212,0.7626167469999989,0.0,NaN,NaN,-0.18951962625000007,0.13986056800000313,-0.04259803779999842,0.0,-0.044140932307690846
Midwest Census Region,3219,0.0,0.0,NaN,NaN,-0.40253453419999374,0.02499169259998819,NaN,0.0,-0.22574654699998972
Midwest Census Region,3254,1.0234225630000013,0.0,NaN,NaN,0.5451830158333317,0.13077989110000116,-0.30484204399999876,0.0,0.35737073653571727
Midwest Census Region,3312,0.0,0.0,NaN,0.0,0.4792102067142867,-0.23728897977777771,NaN,0.0,0.4613813095416693
Midwest Census Region,3313,inf,0.0,NaN,NaN,0.32069252021428546,4.5090346818378375,-0.45526223266666666,0.0,3.3666771212753646
Midwest Census Region,3314,0.0,-0.5770046519999998,NaN,0.30504454299999884,0.1522228492500033,0.1685837939285726,NaN,0.0,0.1491257453571436
Midwest Census Region,3315,NaN,-0.1709910027999994,NaN,NaN,0.07724896250000182,0.09011963303846147,NaN,0.0,0.03642045077464598
Midwest Census Region,3364,0.0,0.0,NaN,NaN,0.6534008230000014,0.23558526642856872,0.7337309400000016,NaN,0.41081244940000233
Midwest Census Region,31131,-0.03543389892592593,0.11400801000000005,NaN,NaN,0.7422647873999999,0.6223051370000001,NaN,NaN,0.15418985708571406
Midwest Census Region,311221,1.9515170250600005,inf,NaN,NaN,0.9351123855238099,0.3277352210526308,-0.5256471747272727,0.0,1.1557642859508201
Midwest Census Region,321113,0.0,0.0,0.5317926019999994,NaN,-0.07180963900000192,-0.09941478399999903,3.0964232379999928,0.0,2.4349462224285636
Midwest Census Region,321219,0.7626167469999989,0.0,NaN,NaN,0.08064049833333324,0.13832733499999983,-0.14224648775000015,0.0,0.1031975887777781
Midwest Census Region,322110,inf,0.0,NaN,NaN,1.0364529240000002,-0.18044960399999999,NaN,0.0,1.4792353814999997
Midwest Census Region,322121,0.26673208919999986,0.0,NaN,NaN,0.22712344240540544,0.15000836959090885,-0.48870534315384606,NaN,-0.09666164042441841
Midwest Census Region,322122,inf,0.0,inf,inf,NaN,0.09882064099999988,-0.7746939255,0.0,-0.37049214533333336
Midwest Census Region,322130,1.7436600133333335,0.0,NaN,NaN,0.21091500876000027,0.47810765133333333,-0.6112526578095239,NaN,0.04010757593103471
Midwest Census Region,324110,0.0,0.0,-0.5505609280000001,-0.9901416797222223,-0.543038811523077,0.003795780878787894,-0.1936265332429377,inf,-0.29352510876305976
Midwest Census Region,324121,0.0,0.0,-0.15410170900000209,0.0,0.8739992878888891,0.6017523679999985,NaN,0.0,0.8774732031818172
Midwest Census Region,324122,inf,0.0,0.0,0.0,-0.4626878040000001,-0.6585810000000001,NaN,0.0,-0.38411297340000006
Midwest Census Region,324199,0.0,0.0,NaN,NaN,0.21961139100000038,-1.8428793305000002,0.6367691155714288,0.0,1.0142311262222228
Midwest Census Region,325110,0.0,0.0,0.0,NaN,NaN,NaN,inf,0.0,NaN
Midwest Census Region,325120,0.0,0.0,0.0,0.0,0.253085652,0.37444825089999867,0.0,0.0,0.36866907752380806
Midwest Census Region,325180,0.0,0.0,NaN,NaN,0.15684495275000065,-0.026361682249999352,6.947894780499996,0.0,1.0886217859285712
Midwest Census Region,325193,-0.6746224425125007,0.0,NaN,NaN,0.2613906117042691,-0.29140831957143,-0.6033787911250007,0.0,0.03524371915708052
Midwest Census Region,325194,0.0,0.0,NaN,NaN,3.6610976514999996,4.641811826,NaN,0.0,6.635583517399998
Midwest Census Region,325199,-0.20089521084615486,0.0,NaN,NaN,0.1641517406249998,0.34747829328571356,NaN,0.0,-0.2138225259909079
Midwest Census Region,325211,0.0114783113636379,0.0,NaN,NaN,-0.0886095014166653,0.07133633106666745,-0.234868833555554,0.0,-0.06393847680000028
Midwest Census Region,325212,2.6218581270000003,0.0,NaN,NaN,3.1026723590000005,NaN,NaN,0.0,3.720284393
Midwest Census Region,325220,0.0,0.0,0.0,NaN,NaN,NaN,inf,0.0,NaN
Midwest Census Region,325311,0.0,0.0,NaN,NaN,0.3786057336666657,-0.15725651539999957,2.09916660825,0.0,0.578088358044444
Midwest Census Region,325312,0.0,0.0,0.0,NaN,NaN,NaN,inf,0.0,NaN
Midwest Census Region,325412,0.5888553103333347,0.0,NaN,NaN,0.5249816498571411,0.04276873450000118,0.042695884000001794,0.0,0.3615591104210527
Midwest Census Region,325992,0.0,0.0,inf,0.0,NaN,NaN,NaN,0.0,-0.07725049900000003
Midwest Census Region,327120,NaN,0.0,NaN,0.0,0.9443063505714296,0.037773024999998794,NaN,0.0,1.0619022420000013
Midwest Census Region,327211,0.0,0.0,NaN,0.0,0.39287060299999976,0.5888200210000001,NaN,0.0,0.31977497260000004
