Fuel_Type,CO2_kgCO2_per_mmBtu,CH4_gCH4_per_mmBtu
Biogenic Process Derived Fuel (PDF),68.44,1.1
Biogenic Process Derived Fuel (Glidfuel),68.44,1.1
Process Gas,59,3
Condensate Tank Vapors,59,3
Subbitumious,97.17,11
Blend (liquid),75.1,3
Blend (gas),59,3
Process Gas,59,3
Process Gas Only,59,3
diesel,73.96,3
Mixed Gas (NG + MAP),59,3
Hydrogen Fuel Gas,59,3
CRU MD Fuel Gas,59,3
Remediation - Thermal Oxidizer,59,3
CFU MD Fuel Gas,59,3
Refinery Produced Gas,59,3
refinery gas,59,3
Blended Fuel Oil,75.1,3
Other (gas),59,3
SNG,59,3
Tar oil,74.54,3
Tar Oil,74.54,3
Naphtha/phenol,68.02,3
Medium BTU,59,3
MBTU,59,3
CO2,59,3
Fuel Gas - UFU/DDU,59,3
Fuel Gas - V-917,59,3
Fuel Gas - SRU,59,3
Mixed Fuel Gas,59,3
Other Gaseous Fuel,59,3
Oxo Propane Recycle,59,3
Process Gas Only,59,3
carbon monoxide,59,3
vent gas (Oxo Propane Recycle),59,3
Land Fill Gas,52.07,3.2
Fuel gas,59,3
Raw Hydrogen,59,3
Raw Hydrogen Gas,59,3
LPG,61.71,3
Hydrogen,59,3
Process,59,3
CO from scrubber off gas,59,3
Carbon Monoxide,59,3
Carbon monoxide,59,3
HCC4 Offgas,59,3
Anthracite Culm,103.69,11
Anthracite Culm ,103.69,11
Engineered Fuel Pellets,93.8,7.2
Engineered Pellet Fuel,93.8,7.2
Soddard Solvent A,68.02,3
Stoddard Solvent,68.02,3
CO2 gas,59,3
Medium BTU gas,59,3
Vacuum,74.54,3
Tailgas,59,3
VRU Sponge Oil,74.54,3
Carbon Monoxide-P4P,59,3
Activation (carbon),94.67,11
Regeneration (carbon),94.67,11
acetylene,72.34,3
Combined Purge and Cold Box Fuel,72.34,3
Short Fiber,105.51,32
Waste Bituminous Coal,94.67,11
Course Ore,94.67,11
Produced (Associated) Gas,59,3
Field Gas,59,3
PSA Reject,72.34,3
Blend,72.34,3
PDO column bottoms,72.34,3
Biogeninc Process Derived Fuel (PDF),105.51,32
Waste Supplemental Fuel,72.34,3
waste anthracite culm,103.69,11
Waste Coal Refuse,94.67,11
70/30 Coal Pet Coke Blend,94.67,11
Soil Oil,74,3
Raw landfill gas and processed landfill gas,52.07,3.2
Raw landfill gas and waste gas,52.07,3.2
Jet Fuel/Biofuel,75.2,3
Carbon Electrode,94.67,11
HYDROGEN,59,3
Wood Oil,81.55,1.1
Methanator,59,3
AOG,59,3
Tank16_Waste,68.02,3
Waste_EDA2,68.02,3
Waste_EDA1,68.02,3
Acetone,68.02,3
Terminal - Thermal Oxidizer,59,3
Hyrdogen Rich Fuel Gas,59,3
Fuel Gas - SRU ,59,3
SRU Fuel Gas,59,3
Vacuum Overhead,59,3
Butamer Stabilizer,59,3
PSA Tail Gas,59,3
Light Straight Run,74.54,3
RGAS,59,3
OCCRejects,93.8,7.2
Heavy Residue ,72.34,3
Engineered Fuel,93.8,7.2
"Wood, wood oil, and wood pellets",93.8,7.2
Wax,72.34,3
"Wax (Blend, Liquid)",72.34,3
Blend (Liquid),68.02,3
Natural gas/off-gas blend,59,3
Sweet Gas Return,59,3
Blended Fuel,74,3
Scrap Fat (from W-4 Tank),71.06,1.1
Fatty Acid Pitch (from W-6 Tank),105.51,32
Nitrile Pitch (from W-3 Tank),105.51,32
Sweet Gas  Return,59,3
