MECS_NAICS_dummies,Northeast_Net_electricity_Under 50,Northeast_Net_electricity_50-99,Northeast_Net_electricity_100-249,Northeast_Net_electricity_250-499,Northeast_Net_electricity_500-999,Northeast_Net_electricity_1000 and Over,Northeast_Residual_fuel_oil_Under 50,Northeast_Residual_fuel_oil_50-99,Northeast_Residual_fuel_oil_100-249,Northeast_Residual_fuel_oil_250-499,Northeast_Residual_fuel_oil_500-999,Northeast_Residual_fuel_oil_1000 and Over,Northeast_Diesel_Under 50,Northeast_Diesel_50-99,Northeast_Diesel_100-249,Northeast_Diesel_250-499,Northeast_Diesel_500-999,Northeast_Diesel_1000 and Over,Northeast_Natural_gas_Under 50,Northeast_Natural_gas_50-99,Northeast_Natural_gas_100-249,Northeast_Natural_gas_250-499,Northeast_Natural_gas_500-999,Northeast_Natural_gas_1000 and Over,Northeast_LPG_NGL_Under 50,Northeast_LPG_NGL_50-99,Northeast_LPG_NGL_100-249,Northeast_LPG_NGL_250-499,Northeast_LPG_NGL_500-999,Northeast_LPG_NGL_1000 and Over,Northeast_Coal_Under 50,Northeast_Coal_50-99,Northeast_Coal_100-249,Northeast_Coal_250-499,Northeast_Coal_500-999,Northeast_Coal_1000 and Over,Northeast_Coke_and_breeze_Under 50,Northeast_Coke_and_breeze_50-99,Northeast_Coke_and_breeze_100-249,Northeast_Coke_and_breeze_250-499,Northeast_Coke_and_breeze_500-999,Northeast_Coke_and_breeze_1000 and Over,Northeast_Other_Under 50,Northeast_Other_50-99,Northeast_Other_100-249,Northeast_Other_250-499,Northeast_Other_500-999,Northeast_Other_1000 and Over,Midwest_Net_electricity_Under 50,Midwest_Net_electricity_50-99,Midwest_Net_electricity_100-249,Midwest_Net_electricity_250-499,Midwest_Net_electricity_500-999,Midwest_Net_electricity_1000 and Over,Midwest_Residual_fuel_oil_Under 50,Midwest_Residual_fuel_oil_50-99,Midwest_Residual_fuel_oil_100-249,Midwest_Residual_fuel_oil_250-499,Midwest_Residual_fuel_oil_500-999,Midwest_Residual_fuel_oil_1000 and Over,Midwest_Diesel_Under 50,Midwest_Diesel_50-99,Midwest_Diesel_100-249,Midwest_Diesel_250-499,Midwest_Diesel_500-999,Midwest_Diesel_1000 and Over,Midwest_Natural_gas_Under 50,Midwest_Natural_gas_50-99,Midwest_Natural_gas_100-249,Midwest_Natural_gas_250-499,Midwest_Natural_gas_500-999,Midwest_Natural_gas_1000 and Over,Midwest_LPG_NGL_Under 50,Midwest_LPG_NGL_50-99,Midwest_LPG_NGL_100-249,Midwest_LPG_NGL_250-499,Midwest_LPG_NGL_500-999,Midwest_LPG_NGL_1000 and Over,Midwest_Coal_Under 50,Midwest_Coal_50-99,Midwest_Coal_100-249,Midwest_Coal_250-499,Midwest_Coal_500-999,Midwest_Coal_1000 and Over,Midwest_Coke_and_breeze_Under 50,Midwest_Coke_and_breeze_50-99,Midwest_Coke_and_breeze_100-249,Midwest_Coke_and_breeze_250-499,Midwest_Coke_and_breeze_500-999,Midwest_Coke_and_breeze_1000 and Over,Midwest_Other_Under 50,Midwest_Other_50-99,Midwest_Other_100-249,Midwest_Other_250-499,Midwest_Other_500-999,Midwest_Other_1000 and Over,South_Net_electricity_Under 50,South_Net_electricity_50-99,South_Net_electricity_100-249,South_Net_electricity_250-499,South_Net_electricity_500-999,South_Net_electricity_1000 and Over,South_Residual_fuel_oil_Under 50,South_Residual_fuel_oil_50-99,South_Residual_fuel_oil_100-249,South_Residual_fuel_oil_250-499,South_Residual_fuel_oil_500-999,South_Residual_fuel_oil_1000 and Over,South_Diesel_Under 50,South_Diesel_50-99,South_Diesel_100-249,South_Diesel_250-499,South_Diesel_500-999,South_Diesel_1000 and Over,South_Natural_gas_Under 50,South_Natural_gas_50-99,South_Natural_gas_100-249,South_Natural_gas_250-499,South_Natural_gas_500-999,South_Natural_gas_1000 and Over,South_LPG_NGL_Under 50,South_LPG_NGL_50-99,South_LPG_NGL_100-249,South_LPG_NGL_250-499,South_LPG_NGL_500-999,South_LPG_NGL_1000 and Over,South_Coal_Under 50,South_Coal_50-99,South_Coal_100-249,South_Coal_250-499,South_Coal_500-999,South_Coal_1000 and Over,South_Coke_and_breeze_Under 50,South_Coke_and_breeze_50-99,South_Coke_and_breeze_100-249,South_Coke_and_breeze_250-499,South_Coke_and_breeze_500-999,South_Coke_and_breeze_1000 and Over,South_Other_Under 50,South_Other_50-99,South_Other_100-249,South_Other_250-499,South_Other_500-999,South_Other_1000 and Over,West_Net_electricity_Under 50,West_Net_electricity_50-99,West_Net_electricity_100-249,West_Net_electricity_250-499,West_Net_electricity_500-999,West_Net_electricity_1000 and Over,West_Residual_fuel_oil_Under 50,West_Residual_fuel_oil_50-99,West_Residual_fuel_oil_100-249,West_Residual_fuel_oil_250-499,West_Residual_fuel_oil_500-999,West_Residual_fuel_oil_1000 and Over,West_Diesel_Under 50,West_Diesel_50-99,West_Diesel_100-249,West_Diesel_250-499,West_Diesel_500-999,West_Diesel_1000 and Over,West_Natural_gas_Under 50,West_Natural_gas_50-99,West_Natural_gas_100-249,West_Natural_gas_250-499,West_Natural_gas_500-999,West_Natural_gas_1000 and Over,West_LPG_NGL_Under 50,West_LPG_NGL_50-99,West_LPG_NGL_100-249,West_LPG_NGL_250-499,West_LPG_NGL_500-999,West_LPG_NGL_1000 and Over,West_Coal_Under 50,West_Coal_50-99,West_Coal_100-249,West_Coal_250-499,West_Coal_500-999,West_Coal_1000 and Over,West_Coke_and_breeze_Under 50,West_Coke_and_breeze_50-99,West_Coke_and_breeze_100-249,West_Coke_and_breeze_250-499,West_Coke_and_breeze_500-999,West_Coke_and_breeze_1000 and Over,West_Other_Under 50,West_Other_50-99,West_Other_100-249,West_Other_250-499,West_Other_500-999,West_Other_1000 and Over
311009,1.339109299,1.171173026,2.54595842,1.91564376,2.333451578,2.635430195,0.082838276,0.028168221,0.099500012,0.066223411,0.131796957,0.0390625,0.277257004,0.060612591,0.089530858,0.024850071,0.091207588,0.111441308,3.230346985,3.54114182,6.282507796,4.283308266,9.373111582,8.850475805,0.154625891,0.01810683,0.017322683,0.018115942,0.020930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.527717829,2.054529768,4.093045147,4.929507221,5.36591336,5.13009443,0,0,0,0,0,0,0.103703704,0.03187251,0.031007752,0.025,0.093457944,0.207039337,8.308308073,7.154215372,8.308723987,8.604136335,8.823165858,17.76033539,0.095948827,0.114766641,0.109863281,0.137572608,0.109051254,0.116686114,0.017756783,0.024843146,0.078385375,0.301483997,0.035388828,0.290547258,0,0,0,0,0,0,0.151966059,0.09165638,0.198270575,0.660054157,1.290557288,1.352158222,1.755088853,1.651455456,3.907546623,3.956388355,4.52054065,4.226434988,0.053423084,0.026711542,0.044016991,0.088540629,0.146156095,0.160944206,0.3818555,0.130930754,0.412954051,0.337040782,0.36232978,0.314688065,1.834208773,1.591582437,5.792353422,6.576032495,10.18042409,12.00712626,0,0,0,0,0,0,0.014711007,0.057728565,0.252316213,0.211007174,0.834168794,1.613281675,0,0,0,0,0,0,0,0,0,0,0,0,0.782311644,0.666110581,1.205344624,1.593666934,1.824899224,1.869970623,0,0,0,0,0,0,1.517002731,0.730580768,0.873150771,1.316091818,0.273798058,0,1.678461548,1.718594686,3.113145318,5.147928126,5.635595967,4.746118372,0.071209855,0.021714584,0.109476266,0.144709423,0.034364261,0.077124788,0,0,0,0,0,0,0,0,0,0,0,0,0.002267627,0.022401864,0.096358128,0.312934718,0.345729309,0.21439206
311209,0.143343517,0.125366959,0.272529386,0.20505803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378618812,0.415046098,0.736352983,0.502033093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025162142,0.025495279,0.045938093,0.060115557,0,0,1.790466796,1.455291919,2.899240313,3.491734281,3.800855296,3.633816888,0,0,0,0,0,0,0,0,0,0,0,0,5.069476112,4.365283956,5.06972989,5.249981492,5.383626625,10.83681482,0,0,0,0,0,0,0.260432816,0.364366135,1.149652173,4.421765283,0.519036138,4.261359787,0,0,0,0,0,0,0.405242825,0.244417014,0.528721533,1.760144418,3.441486101,3.605755259,1.112417442,1.046732107,2.476696841,2.507653903,2.865227169,0,0.03205385,0.016026925,0.026410194,0.053124377,0.087693657,0,0,0,0,0,0,0,1.76453795,1.531127564,5.57233592,6.326247625,9.793729548,0,0,0,0,0,0,0,0.042713636,0.167615777,0.732604002,0.612662574,2.422021917,0,0,0,0,0,0,0,0.15525528,0.604646812,0.812367783,2.10648731,4.064092829,0,0.502854534,0.428162777,0.77477181,1.024377752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721171167,0.738414851,1.337600282,2.211869158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012986012,0.128288677,0.551813749,1.792082146,0,0
311221,0.248765964,0,0,0,0,0,0.248514828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644274547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94366218,2.392609454,4.766569299,5.74067398,6.248892196,0,0,0,0,0,0,0,0.062222222,0.019123506,0.018604651,0.015,0.056074766,0,9.673177395,8.329493058,9.673661634,10.01760363,10.27261481,0,0.038379531,0.045906656,0.043945313,0.055029043,0.043620502,0,4.024781764,5.630988446,17.76695879,68.33486106,8.021290169,0,0,0,0,0,0,0,1.522251891,0.918126711,1.986086624,6.611796696,12.92757924,0,0.922679301,0,0,2.079938937,0,0,0,0,0,0,0,0,0.143195812,0,0,0.126390293,0,0,0.871949674,0,0,3.126126903,0,0,0.115021854,0,0,0.122513987,0,0,0.453666783,0,0,6.507164552,0,0,0,0,0,0,0,0,0.017145192,0,0,0.232624163,0,0,0.134054415,0.114142573,0,0,0,0,0,0,0,0,0,0,0.12494209,0.060171473,0,0,0,0,0.494987801,0.50682329,0,0,0,0,0.106814783,0.032571875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091342168,0.902368291,0,0,0,0
31131,0.301066768,0.263310305,0,0.430686783,0,0,0,0,0,0,0,0,0.184838003,0.040408394,0,0.016566714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373152868,0.303298757,0.604233399,0.727715623,0,0,0,0.173445535,0.483870968,0.241935484,0,0,0.077777778,0.023904382,0.023255814,0.01875,0,0,1.282227011,1.104115075,1.282291199,1.327882394,0,0,0.047974414,0.057383321,0.054931641,0.068786304,0,0,1.174364194,1.643028516,5.18410226,19.93897278,0,0,0.071660406,0.107321455,0.214981218,0.356811966,0,0,0.034427641,0.020764591,0.044917847,0.149534099,0,0,0.111241744,0.104673211,0.247669684,0.25076539,0.286522717,0,0.03205385,0.016026925,0.026410194,0.053124377,0.087693657,0,0.057278325,0.019639613,0.061943108,0.050556117,0.054349467,0,0.423489108,0.367470615,1.337360621,1.51829943,2.350495092,0,0.046008742,0.036243557,0.0481889,0.049005595,0.046716844,0,0.010678409,0.041903944,0.183151001,0.153165643,0.605505479,0,0,0,0,0,0,0,0.62102112,2.418587248,3.249471132,8.425949239,16.25637132,0,0.127902995,0.108904858,0.197066205,0.260554441,0.298359455,0,0,0,0,0,0,0,0.058346259,0.02809926,0.033582722,0.050618916,0.010530695,0,0.388927506,0.398227023,0.721367639,1.192860718,1.305861482,0,0.042725913,0.01302875,0.065685759,0.086825654,0.020618557,0,0.744618965,3.482045702,5.898617512,8.774542993,4.720607957,0,0,0,0.088235294,0,0,0,0.014455736,0.142808059,0.61426661,1.994905392,2.203965305,0
3114,0.429591984,0.37571731,0.816754338,0.614546702,0.748581235,0,0.198811862,0.067603729,0.23880003,0.158936187,0.316312698,0,0,0,0,0,0,0,0.860143991,0.942899284,1.672842378,1.140515829,2.495776969,0,0.067004553,0.007846293,0.007506496,0.007850242,0.009069767,0,0.011901102,0.067543988,0.251796045,0.342247866,0.637083573,0,0,0,0,0,0,0,0.080518856,0.081584894,0.147001896,0.192369783,0.609878024,0,0.84257261,0.684843256,1.364348382,1.643169074,1.788637787,1.710031477,0,0,0,0,0,0,0,0,0,0,0,0,2.393919275,2.06138409,2.394039115,2.479157927,2.542268129,5.117384774,0.031982942,0.038255547,0.036621094,0.045857536,0.036350418,0.038895371,0.023675711,0.033124194,0.104513834,0.401978662,0.047185103,0.387396344,0,0,0,0,0,0,0.040524282,0.024441701,0.052872153,0.176014442,0.34414861,0.360575526,0.702035541,0.660582182,1.563018649,1.582555342,1.80821626,1.690573995,0.106846168,0.053423084,0.088033981,0.177081258,0.292312189,0.321888412,0.047731937,0.016366344,0.051619256,0.042130098,0.045291223,0.039336008,0.917104387,0.795791219,2.896176711,3.288016247,5.090212047,6.00356313,0.038340618,0.030202964,0.040157417,0.040837996,0.038930703,0.031661601,0,0,0,0,0,0,0,0,0,0,0,0,0.013502252,0.052584966,0.070650057,0.183197134,0.353446306,0.325696706,1.173467467,0.999165872,1.808016936,2.390500401,2.737348836,2.804955935,0.018083183,0,0.095846645,0.136518771,0,0,0.816847625,0.393389644,0.470158108,0.708664825,0.147429723,0,4.348741284,4.452722595,8.065876507,13.33781378,14.60131682,12.29676124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002267627,0.022401864,0.096358128,0.312934718,0.345729309,0.21439206
3115,0.572789312,0.500956414,1.089005784,0.819395603,0.998108314,0,0.198811862,0.067603729,0.23880003,0.158936187,0.316312698,0,0.443611206,0.096980146,0.143249373,0.039760114,0.145932142,0,0.983021704,1.077599182,1.91181986,1.303446661,2.852316536,0,0.067004553,0.007846293,0.007506496,0.007850242,0.009069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47183109,1.196304727,2.383284649,2.87033699,3.124446098,0,0,0.138756428,0.387096774,0.193548387,0,0,0.248888889,0.076494024,0.074418605,0.06,0.224299065,0,5.239637756,4.51180874,5.239900052,5.426201965,5.56433302,0,0.038379531,0.045906656,0.043945313,0.055029043,0.043620502,0,0.009674956,0.01353603,0.042709036,0.164266493,0.019281948,0,0,0,0,0,0,0,0.063427162,0.03825528,0.082753609,0.275491529,0.538649135,0,0.667450465,0.628039264,1.486018105,1.504592342,1.719136301,0,0,0,0,0,0,0,0.057278325,0.019639613,0.061943108,0.050556117,0.054349467,0,0.423489108,0.367470615,1.337360621,1.51829943,2.350495092,0,0.046008742,0.036243557,0.0481889,0.049005595,0.046716844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005008235,0.019504736,0.026205412,0.067951204,0.131099769,0,1.406932942,1.197953433,2.167728257,2.866098855,3.281954005,0,0,0,0,0,0,0,0.058346259,0.02809926,0.033582722,0.050618916,0.010530695,0,2.528028789,2.588475647,4.688889654,7.753594665,8.48809963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722787,0.007140403,0.03071333,0.09974527,0.110198265,0
3116,0.334777325,0.292793256,0.636489605,0.47891094,0.583362895,0.658857549,0.041419138,0.01408411,0.049750006,0.033111706,0.065898479,0.01953125,0.369676005,0.080816788,0.119374478,0.033133428,0.121610118,0.14858841,0.369182513,0.404701922,0.718000891,0.489520945,1.071212752,1.011482949,0.055837127,0.006538578,0.006255413,0.006541868,0.00755814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067099046,0.067987412,0.12250158,0.160308153,0.508231687,0.311946118,3.05432571,2.482556803,4.945762886,5.956487891,6.483811976,6.198864103,0,0.115630357,0.322580645,0.161290323,0,0.285714286,0,0,0,0,0,0,8.449126854,7.275473259,8.449549817,8.749969154,8.972711042,18.06135803,0.031982942,0.038255547,0.036621094,0.045857536,0.036350418,0.038895371,0,0,0,0,0,0,0,0,0,0,0,0,0.16209713,0.097766806,0.211488613,0.704057767,1.376594441,1.442302104,2.720387722,2.559755956,6.056697266,6.13240195,7.006838007,6.550974231,0.427384673,0.213692336,0.352135924,0.708325033,1.169248758,1.287553648,0.3818555,0.130930754,0.412954051,0.337040782,0.36232978,0.314688065,2.316895293,2.010419921,7.316656954,8.306567362,12.85948307,15.16689633,0.153362472,0.120811856,0.160629668,0.163351983,0.155722813,0.126646403,0.004903669,0.019242855,0.084105404,0.070335725,0.278056265,0.537760558,0,0,0,0,0,0,0.040506756,0.157754897,0.211950172,0.549591402,1.060338918,0.977090118,0.586733733,0.499582936,0.904008468,1.1952502,1.368674418,1.402477967,0,0,0,0,0,0,0.058346259,0.02809926,0.033582722,0.050618916,0.010530695,0,0.915524481,0.937415283,1.698079265,2.807960796,3.073961437,2.588791839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000566907,0.005600466,0.024089532,0.07823368,0.086432327,0.053598015
3121,0.446369766,0.390391009,0.848652807,0.63854792,0.777817193,0.878476732,0.041419138,0.01408411,0.049750006,0.033111706,0.065898479,0.01953125,0.048057881,0.010506182,0.015518682,0.004307346,0.015809315,0.019316493,0.461478141,0.505877403,0.897501114,0.611901181,1.33901594,1.264353686,0.055837127,0.006538578,0.006255413,0.006541868,0.00755814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067099046,0.067987412,0.12250158,0.160308153,0.508231687,0.311946118,0.526607881,0.428027035,0.852717739,1.026980671,1.117898617,1.068769673,0,0,0,0,0,0,0.051851852,0.015936255,0.015503876,0.0125,0.046728972,0.103519669,1.126550247,0.970063101,1.126606642,1.166662554,1.196361472,2.40818107,0.031982942,0.038255547,0.036621094,0.045857536,0.036350418,0.038895371,0.142054263,0.198745165,0.627083004,2.411871972,0.283110621,2.324378066,0,0,0,0,0,0,0.010131071,0.006110425,0.013218038,0.04400361,0.086037153,0.090143881,0.789789984,0.743154955,1.75839598,1.78037476,2.034243292,1.901895744,0.026711542,0.013355771,0.022008495,0.044270315,0.073078047,0.080472103,0.19092775,0.065465377,0.206477025,0.168520391,0.18116489,0.157344033,0.579223823,0.50260498,1.829164239,2.07664184,3.214870767,3.791724082,0.038340618,0.030202964,0.040157417,0.040837996,0.038930703,0.031661601,0.014711007,0.057728565,0.252316213,0.211007174,0.834168794,1.613281675,0,0,0,0,0,0,0.040506756,0.157754897,0.211950172,0.549591402,1.060338918,0.977090118,0.782311644,0.666110581,1.205344624,1.593666934,1.824899224,1.869970623,0,0,0,0,0,0,0.058346259,0.02809926,0.033582722,0.050618916,0.010530695,0,0.686643361,0.703061462,1.273559448,2.105970597,2.305471078,1.941593879,0.142419711,0.043429167,0.218952531,0.289418847,0.068728522,0.154249576,0,0,0,0,0,0,0,0,0,0,0,0,0.006802881,0.067205593,0.289074383,0.938804155,1.037187926,0.643176179
3122,0,0,0,0,0,0,0.082838276,0.028168221,0,0,0.131796957,0,0.096115761,0.021012365,0,0,0.031618631,0,0,0,0,0,0,0,0.111674255,0.013077155,0,0,0.015116279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033549523,0.033993706,0,0,0.254115843,0,0.095847528,0,0.155202553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124909765,0,0.124916018,0,0,0,0.095948827,0,0.109863281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263263328,0.247718318,0.586131993,0.593458253,0.678081097,0.633965248,0.026711542,0.013355771,0.022008495,0.044270315,0.073078047,0.080472103,0.047731937,0.016366344,0.051619256,0.042130098,0.045291223,0.039336008,0.193074608,0.167534993,0.609721413,0.692213947,1.071623589,1.263908027,0.038340618,0.030202964,0.040157417,0.040837996,0.038930703,0.031661601,0.009807338,0.03848571,0.168210809,0.14067145,0.55611253,1.075521117,0,0,0,0,0,0,0.003375563,0.013146241,0.017662514,0.045799283,0.088361576,0.081424177,0.248196988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213629566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,0.286394656,0.250478207,0.544502892,0.409697801,0.499054157,0,0.198811862,0.067603729,0.23880003,0.158936187,0.316312698,0,0.057669457,0.012607419,0.018622419,0.005168815,0.018971178,0,0,0,0,0,0,0,0.067004553,0.007846293,0.007506496,0.007850242,0.009069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133802826,0.108754975,0.216662241,0.260939726,0.284040554,0,0,0,0,0,0,0,0.062222222,0.019123506,0.018604651,0.015,0.056074766,0,0.201524529,0.173531105,0.201534617,0.208700076,0.214012808,0,0.038379531,0.045906656,0.043945313,0.055029043,0.043620502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015856791,0.00956382,0.020688402,0.068872882,0.134662284,0,3.597932148,3.385483684,8.010470577,8.110596127,9.267108332,8.664191725,0.106846168,0.053423084,0.088033981,0.177081258,0.292312189,0.321888412,0,0,0,0,0,0,1.110178994,0.963326212,3.505898124,3.980230194,6.161835636,7.267471158,0.153362472,0.120811856,0.160629668,0.163351983,0.155722813,0.126646403,0.039229353,0.153942841,0.672843234,0.562685798,2.224450118,4.302084467,0,0,0,0,0,0,0.081013511,0.315509794,0.423900345,1.099182803,2.120677836,1.954180237,0.127902995,0.108904858,0.197066205,0.260554441,0.298359455,0,0.021699819,0,0.115015974,0.163822526,0,0,0.058346259,0.02809926,0.033582722,0.050618916,0.010530695,0,0.194463753,0.199113511,0.36068382,0.596430359,0.652930741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722787,0.007140403,0.03071333,0.09974527,0.110198265,0
