ZIP,Census_Region
36460,South
36445,South
36481,South
36768,South
36458,South
36475,South
36439,South
36471,South
36111,South
36057,South
36065,South
36029,South
36123,South
36036,South
36013,South
36102,South
36117,South
36069,South
36131,South
36103,South
36043,South
36116,South
36105,South
36108,South
36064,South
36047,South
36119,South
36121,South
36109,South
36110,South
36130,South
36124,South
36112,South
36106,South
36115,South
36054,South
36113,South
36046,South
36107,South
36104,South
36125,South
36041,South
36101,South
36120,South
36114,South
36052,South
35640,South
35670,South
35754,South
35175,South
35622,South
35016,South
35179,South
35087,South
35601,South
35621,South
35673,South
35603,South
35019,South
35775,South
35619,South
36759,South
36786,South
36765,South
36756,South
36728,South
35574,South
35461,South
35481,South
35466,South
35471,South
35576,South
35442,South
35555,South
35447,South
36035,South
36010,South
36005,South
36082,South
36079,South
36081,South
36034,South
36089,South
36276,South
36278,South
36263,South
36266,South
36264,South
36280,South
36274,South
36258,South
36870,South
36871,South
36869,South
36804,South
36868,South
36858,South
36851,South
36856,South
36027,South
36874,South
36877,South
36867,South
36875,South
36860,South
35004,South
35125,South
35178,South
35094,South
35906,South
35146,South
35987,South
35131,South
35052,South
35182,South
35054,South
35128,South
35953,South
35972,South
35135,South
35133,South
35120,South
35173,South
35112,South
35121,South
35051,South
35137,South
35243,South
35242,South
35244,South
35128,South
35143,South
35040,South
35216,South
35022,South
35185,South
35043,South
35187,South
35147,South
35007,South
35080,South
35094,South
35078,South
35238,South
35176,South
35124,South
35035,South
35186,South
35178,South
35115,South
35114,South
36907,South
35464,South
36925,South
36901,South
35477,South
35460,South
36912,South
35459,South
36922,South
35442,South
35470,South
35150,South
35014,South
35096,South
35044,South
35149,South
36260,South
35151,South
36268,South
35032,South
36203,South
35160,South
36256,South
36078,South
35089,South
36853,South
36861,South
35010,South
35072,South
36879,South
36255,South
36276,South
36866,South
36850,South
35184,South
35111,South
35405,South
35404,South
35449,South
35402,South
35188,South
35440,South
35482,South
35474,South
35473,South
35476,South
35457,South
35555,South
35006,South
35444,South
35486,South
35480,South
35546,South
35475,South
35466,South
35579,South
35478,South
35469,South
35574,South
35458,South
35463,South
35403,South
35401,South
35490,South
35407,South
35487,South
35468,South
35453,South
35452,South
35456,South
35446,South
35406,South
35033,South
35549,South
35584,South
35587,South
35501,South
35578,South
35504,South
35560,South
35580,South
35503,South
35148,South
35063,South
35579,South
35546,South
35550,South
35502,South
35006,South
35130,South
35554,South
35062,South
35038,South
35573,South
36513,South
36569,South
36548,South
36538,South
36522,South
36585,South
36556,South
36583,South
36558,South
36584,South
36518,South
36553,South
36539,South
36529,South
36581,South
36751,South
36726,South
36761,South
36741,South
36769,South
36728,South
36722,South
36720,South
36783,South
36766,South
36435,South
36768,South
36753,South
36723,South
36784,South
35053,South
35578,South
35541,South
35551,South
35179,South
35577,South
35575,South
35553,South
35565,South
35540,South
35572,South
35503,South
35554,South
35098,South
99583,West
99612,West
99571,West
99661,West
99553,West
99692,West
99660,West
99685,West
99547,West
99591,West
99546,West
99638,West
99507,West
99502,West
99521,West
99505,West
99577,West
99599,West
99509,West
99503,West
99513,West
99540,West
99516,West
99510,West
99520,West
99518,West
99501,West
99515,West
99530,West
99522,West
99523,West
99587,West
99524,West
99567,West
99517,West
99519,West
99514,West
99529,West
99504,West
99511,West
99506,West
99508,West
99656,West
99607,West
99559,West
99690,West
99626,West
99609,West
99679,West
99680,West
99621,West
99668,West
99630,West
99641,West
99552,West
99681,West
99545,West
99614,West
99655,West
99589,West
99637,West
99634,West
99561,West
99563,West
99651,West
99551,West
99557,West
99578,West
99575,West
99622,West
99670,West
99633,West
99613,West
99755,West
99743,West
99729,West
99744,West
99569,West
99678,West
99555,West
99636,West
99576,West
99628,West
99580,West
99712,West
99701,West
99702,West
99706,West
99707,West
99714,West
99790,West
99709,West
99703,West
99775,West
99725,West
99705,West
99708,West
99827,West
99829,West
99841,West
99820,West
99826,West
99832,West
99825,West
99811,West
99824,West
99801,West
99610,West
99572,West
99556,West
99672,West
99669,West
99605,West
99682,West
99611,West
99664,West
99639,West
99568,West
99603,West
99663,West
99631,West
99635,West
99901,West
99928,West
99918,West
99550,West
99608,West
99643,West
99624,West
99644,West
99615,West
99579,West
99647,West
99606,West
99625,West
99549,West
99649,West
99564,West
99653,West
99565,West
99648,West
99640,West
99548,West
99645,West
99688,West
99694,West
99623,West
99676,West
99674,West
99687,West
99652,West
99683,West
99667,West
99654,West
99739,West
99684,West
99671,West
99742,West
99659,West
99778,West
99785,West
99753,West
99771,West
99783,West
99772,West
99762,West
99769,West
99784,West
99766,West
99791,West
99759,West
99734,West
99721,West
99789,West
99723,West
99782,West
99747,West
99770,West
99736,West
99763,West
99727,West
99773,West
99750,West
99761,West
99749,West
99752,West
99786,West
99751,West
99833,West
99836,West
99830,West
99922,West
99926,West
99921,West
99923,West
99919,West
99925,West
99927,West
99835,West
99840,West
99737,West
99731,West
99738,West
99780,West
99764,West
99732,West
99776,West
99677,West
99693,West
99686,West
99566,West
99574,West
99573,West
99588,West
99586,West
99581,West
99585,West
99632,West
99554,West
99666,West
99657,West
99604,West
99658,West
99662,West
99620,West
99650,West
99929,West
99903,West
99689,West
99733,West
99665,West
99746,West
99627,West
99602,West
99788,West
99781,West
99691,West
99777,West
99748,West
99730,West
99756,West
99760,West
99741,West
99757,West
99704,West
99758,West
99724,West
99740,West
99754,West
99745,West
99675,West
99767,West
99720,West
99726,West
99590,West
99774,West
99558,West
99765,West
99722,West
99768,West
86535,West
86511,West
86515,West
86505,West
85940,West
85901,West
86502,West
86506,West
86028,West
86545,West
86540,West
85927,West
86503,West
86508,West
86514,West
86512,West
86538,West
85938,West
85924,West
85936,West
85920,West
86556,West
86547,West
85925,West
85930,West
86544,West
85932,West
86504,West
86507,West
85613,West
85626,West
85635,West
85617,West
85609,West
85643,West
85615,West
85606,West
85630,West
85607,West
85605,West
85620,West
85632,West
85610,West
85616,West
85602,West
85636,West
85638,West
85627,West
85625,West
85650,West
85603,West
86040,West
86053,West
86018,West
86002,West
86004,West
86024,West
86038,West
85928,West
86047,West
86036,West
86001,West
86023,West
86017,West
86045,West
86011,West
86003,West
86339,West
86020,West
86044,West
86022,West
86015,West
86016,West
86336,West
85931,West
86052,West
86435,West
86046,West
86005,West
85501,West
85192,West
85544,West
85553,West
85542,West
85541,West
85539,West
85545,West
85135,West
85554,West
85532,West
85543,West
85535,West
85536,West
85548,West
85531,West
85643,West
85550,West
85551,West
85546,West
85552,West
85530,West
85534,West
85922,West
85540,West
85533,West
85348,West
85346,West
85334,West
85357,West
85328,West
85344,West
85325,West
85014,West
85012,West
85010,West
85277,West
85026,West
85079,West
85246,West
85267,West
85376,West
85353,West
85383,West
85395,West
85338,West
85378,West
85342,West
85033,West
85043,West
85023,West
85064,West
85019,West
85046,West
85210,West
85225,West
85257,West
85208,West
85307,West
85326,West
85286,West
85331,West
85322,West
85271,West
85203,West
85302,West
85303,West
85308,West
85263,West
85323,West
85343,West
85060,West
85275,West
85076,West
85216,West
85035,West
85027,West
85044,West
85024,West
85050,West
85066,West
85214,West
85258,West
85202,West
85298,West
85295,West
85335,West
85269,West
85309,West
85013,West
85382,West
85396,West
85351,West
85139,West
85069,West
85329,West
85377,West
85067,West
85312,West
85345,West
85375,West
85340,West
85361,West
85032,West
85051,West
85022,West
85054,West
85061,West
85071,West
85078,West
85030,West
85209,West
85249,West
85262,West
85204,West
85372,West
85211,West
85244,West
85120,West
85264,West
85381,West
85390,West
85363,West
85392,West
85037,West
85048,West
85034,West
85068,West
85082,West
85248,West
85254,West
85255,West
85234,West
85250,West
85142,West
85085,West
85281,West
85304,West
85280,West
85003,West
85311,West
85041,West
85031,West
85063,West
85074,West
85215,West
85251,West
85256,West
85213,West
85260,West
85205,West
85306,West
85266,West
85299,West
85006,West
85025,West
85098,West
85545,West
85320,West
85287,West
85121,West
85001,West
85127,West
85070,West
85337,West
85261,West
85297,West
85327,West
85318,West
85285,West
85009,West
85004,West
85016,West
85354,West
85040,West
85018,West
85028,West
85021,West
85020,West
85017,West
85224,West
85259,West
85201,West
85086,West
85087,West
85206,West
85296,West
85301,West
85310,West
85305,West
85007,West
85147,West
85002,West
85005,West
85373,West
85339,West
85355,West
85387,West
85042,West
85045,West
85253,West
85282,West
85268,West
85283,West
85143,West
85236,West
85380,West
85385,West
85080,West
85008,West
85015,West
85011,West
85374,West
85379,West
85388,West
85029,West
85053,West
85036,West
85212,West
85233,West
85226,West
85252,West
85083,West
85207,West
85284,West
85274,West
86436,West
85360,West
86443,West
86439,West
86409,West
86432,West
86437,West
86403,West
86430,West
86402,West
86444,West
86429,West
86438,West
86021,West
86404,West
86426,West
86441,West
86412,West
86411,West
86405,West
86406,West
86442,West
86433,West
86427,West
86434,West
86440,West
86413,West
86445,West
86401,West
86431,West
86034,West
85934,West
86025,West
86031,West
85901,West
86030,West
85939,West
86042,West
86047,West
85926,West
86054,West
86043,West
85942,West
86032,West
86520,West
86039,West
85941,West
85928,West
85929,West
86510,West
85911,West
85937,West
85935,West
86033,West
85923,West
85933,West
86029,West
85713,West
85711,West
85634,West
85701,West
85745,West
85749,West
85748,West
85724,West
85703,West
85706,West
85614,West
85658,West
85714,West
85755,West
85732,West
85735,West
85744,West
85775,West
85740,West
85716,West
85653,West
85728,West
85341,West
85619,West
85654,West
85602,West
85712,West
85747,West
85715,West
85718,West
85639,West
85601,West
85633,West
85622,West
85707,West
85645,West
85750,West
85730,West
85742,West
85736,West
85709,West
85721,West
85641,West
85629,West
85741,West
85321,West
85723,West
85652,West
85733,West
85717,West
85702,West
85705,West
85710,West
85746,West
85731,West
85739,West
