FIPS,Census_Division
1001,East South Central
1003,East South Central
1005,East South Central
1007,East South Central
1009,East South Central
1011,East South Central
1013,East South Central
1015,East South Central
1017,East South Central
1019,East South Central
1021,East South Central
1023,East South Central
1025,East South Central
1027,East South Central
1029,East South Central
1031,East South Central
1033,East South Central
1035,East South Central
1037,East South Central
1039,East South Central
1041,East South Central
1043,East South Central
1045,East South Central
1047,East South Central
1049,East South Central
1051,East South Central
1053,East South Central
1055,East South Central
1057,East South Central
1059,East South Central
1061,East South Central
1063,East South Central
1065,East South Central
1067,East South Central
1069,East South Central
1071,East South Central
1073,East South Central
1075,East South Central
1077,East South Central
1079,East South Central
1081,East South Central
1083,East South Central
1085,East South Central
1087,East South Central
1089,East South Central
1091,East South Central
1093,East South Central
1095,East South Central
1097,East South Central
1099,East South Central
1101,East South Central
1103,East South Central
1105,East South Central
1107,East South Central
1109,East South Central
1111,East South Central
1113,East South Central
1115,East South Central
1117,East South Central
1119,East South Central
1121,East South Central
1123,East South Central
1125,East South Central
1127,East South Central
1129,East South Central
1131,East South Central
1133,East South Central
2013,Pacific
2016,Pacific
2020,Pacific
2050,Pacific
2060,Pacific
2068,Pacific
2070,Pacific
2090,Pacific
2100,Pacific
2105,Pacific
2110,Pacific
2122,Pacific
2130,Pacific
2150,Pacific
2164,Pacific
2170,Pacific
2180,Pacific
2185,Pacific
2188,Pacific
2195,Pacific
2198,Pacific
2220,Pacific
2230,Pacific
2240,Pacific
2261,Pacific
2270,Mountain
2275,Mountain
2282,Mountain
2290,Mountain
4001,Mountain
4003,Mountain
4005,Mountain
4007,Mountain
4009,Mountain
4011,Mountain
4012,Mountain
4013,Mountain
4015,Mountain
4017,Mountain
4019,Mountain
4021,West South Central
4023,West South Central
4025,West South Central
4027,West South Central
5001,West South Central
5003,West South Central
5005,West South Central
5007,West South Central
5009,West South Central
5011,West South Central
5013,West South Central
5015,West South Central
5017,West South Central
5019,West South Central
5021,West South Central
5023,West South Central
5025,West South Central
5027,West South Central
5029,West South Central
5031,West South Central
5033,West South Central
5035,West South Central
5037,West South Central
5039,West South Central
5041,West South Central
5043,West South Central
5045,West South Central
5047,West South Central
5049,West South Central
5051,West South Central
5053,West South Central
5055,West South Central
5057,West South Central
5059,West South Central
5061,West South Central
5063,West South Central
5065,West South Central
5067,West South Central
5069,West South Central
5071,West South Central
5073,West South Central
5075,West South Central
5077,West South Central
5079,West South Central
5081,West South Central
5083,West South Central
5085,West South Central
5087,West South Central
5089,West South Central
5091,West South Central
5093,West South Central
5095,West South Central
5097,West South Central
5099,West South Central
5101,West South Central
5103,West South Central
5105,West South Central
5107,West South Central
5109,West South Central
5111,West South Central
5113,West South Central
5115,West South Central
5117,West South Central
5119,West South Central
5121,West South Central
5123,West South Central
5125,West South Central
5127,West South Central
5129,West South Central
5131,West South Central
5133,West South Central
